code,name_en,name_km,kind,parent_id,latitude,longitude,,
0102,Mongkol Borei,មង្គលបូរី,district,01,1.3467368E+01,1.0283471E+02,,
0103,Phnum Srok,ភ្នំស្រុក,district,01,1.3821707E+01,1.0326143E+02,,
0104,Preah Netr Preah,ព្រះនេត្រព្រះ,district,01,1.3624258E+01,1.0317349E+02,,
0105,Ou Chrov,អូរជ្រៅ,district,01,1.3654349E+01,1.0265191E+02,,
0106,Serei Saophoan,សិរីសោភ័ណ,district,01,1.3613506E+01,1.0290634E+02,,
0107,Thma Puok,ថ្មពួក,district,01,1.3942147E+01,1.0304744E+02,,
0108,Svay Chek,ស្វាយចេក,district,01,1.3806667E+01,1.0295464E+02,,
0109,Malai,ម៉ាឡៃ,district,01,1.3566840E+01,1.0235900E+02,,
0110,Paoy Paet,ប៉ោយប៉ែត,district,01,1.3676208E+01,1.0256208E+02,,
010201,Banteay Neang,បន្ទាយនាង,commune,0102,1.3511412E+01,1.0301240E+02,,
010202,Bat Trang,ឃុំបត់ត្រង់,commune,0102,1.3524992E+01,1.0291579E+02,,
010203,Chamnaom,ចំណោម,commune,0102,1.3452171E+01,1.0273803E+02,,","
010204,Kouk Ballangk,គោកបល្ល័ង្គ,commune,0102,1.3455801E+01,1.0305298E+02,,","
010205,Koy Maeng,គយម៉ែង,commune,0102,1.3553701E+01,1.0302926E+02,,","
010206,Ou Prasat,អូរប្រាសាទ,commune,0102,1.3458976E+01,1.0292800E+02,,","
010207,Phnum Touch,ភ្នំតូច,commune,0102,1.3405448E+01,1.0292589E+02,,","
010208,Rohat Tuek,រហាត់ទឹក,commune,0102,,,,"13.4775611,102.7972932"
010209,Ruessei Kraok,ឫស្សីក្រោក,commune,0102,,,,"13.5448813,102.962858"
010210,Sambuor,សំបួរ,commune,0102,,,,"13.4325158,103.1361668"
010211,Soea,សឿ,commune,0102,,,,"13.4201333,102.5613967"
010212,Srah Reang,ស្រះរាំង,commune,0102,,,,"13.4930932,103.028959"
010213,Ta Lam,តាឡំ,commune,0102,,,,"13.518638,102.9547336"